benchmark cores inputsize label label1core median median_factor offset slowdown_factor stdev stdev_factor wcet wcet1core wcet_median_factor
malardalenmatmult 1.0 20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 20778.0 1.0 0.0 1.0 665.5545115339007 1.0 25403.0 25403.0 1.2225912022331311
malardalenmatmult 1.0 20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 20760.5 0.9991577630185774 1.0 0.8178561587214108 11.1175536877496 0.01670419701930503 20776.0 25403.0 1.0007466101490812
malardalenmatmult 1.0 50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE50 309989.0 1.0 0.0 1.0 1642.8084581295657 1.0 313588.0 313588.0 1.0116100893902686
malardalenmatmult 1.0 50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE50 310371.0 1.0012323017913538 1.0 0.990519407630394 662.0123362395451 0.4029759726178213 310615.0 313588.0 1.0007861559230726
malardalenmatmult 1.0 80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE80 1670345.0 1.0 0.0 1.0 1492.053709810461 1.0 1673203.0 1673203.0 1.0017110237705384
malardalenmatmult 1.0 80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE80 1670950.0 1.0003622006232245 1.0 0.9994555352817321 1125.834742165407 0.7545537635561554 1672292.0 1673203.0 1.0008031359406326
malardalenmatmult 1.0 90 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE90 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE90 2372192.0 1.0 0.0 1.0 8441.436246360023 1.0 2381226.0 2381226.0 1.0038082920775384
malardalenmatmult 1.0 90 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE90 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE90 2355139.0 0.9928112901485209 1.0 0.9959466258137615 10088.451334735812 1.1951107655508253 2371574.0 2381226.0 1.0069783566914734
malardalenmatmult 1.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 4723757.0 1.0 0.0 1.0 6054.933538636988 1.0 4754819.0 4754819.0 1.0065756981148692
malardalenmatmult 1.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 4724960.0 1.000254670170375 1.0 0.9947819254528931 4127.671002485704 0.6817037670433084 4730008.0 4754819.0 1.001068368832752
malardalenmatmult 1.0 110 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE110 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE110 4245685.0 1.0 0.0 1.0 2431.5824662070763 1.0 4249541.0 4249541.0 1.000908216224237
malardalenmatmult 1.0 110 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE110 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE110 4245571.0 0.9999731492091383 1.0 0.9991952072000246 2147.6662527807885 0.8832380898562915 4246121.0 4249541.0 1.0001295467676785
malardalenmatmult 1.0 120 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE120 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE120 5645639.0 1.0 0.0 1.0 4284.879548271693 1.0 5658556.0 5658556.0 1.0022879606719453
malardalenmatmult 1.0 120 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE120 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE120 5645699.0 1.0000106276720846 1.0 0.999106309100767 3165.1155549505947 0.7386708352693939 5653499.0 5658556.0 1.0013815826879895
malardalenmatmult 1.0 150 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE150 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE150 10741691.0 1.0 0.0 1.0 9591.837155024243 1.0 10779339.0 10779339.0 1.0035048485382796
malardalenmatmult 1.0 150 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE150 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE150 10742401.0 1.0000660976004616 1.0 0.9970396143956508 4491.418738629769 0.4682542735076717 10747428.0 10779339.0 1.0004679586993634
malardalenmatmult 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5973580.0 1.2645824076047942 0.0 1.2636531485215314 15173.2455838152 2.505930987845461 6008442.0 4754819.0 1.0058360313245993
malardalenmatmult 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5964377.5 1.2626342760645817 1.0 1.259304087074608 14004.167645616519 2.312852413037215 5987763.0 4754819.0 1.0039208618166775
malardalenmatmult 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5960138.5 1.2617368971350558 2.0 1.2592540325930388 12893.10920543479 2.129356024003053 5987525.0 4754819.0 1.0045949435571002
malardalenmatmult 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5957934.5 1.261270319366555 3.0 1.257343129149606 12209.370072102489 2.016433375229237 5978439.0 4754819.0 1.0034415450522325
malardalenmatmult 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5954112.5 1.2604612176282566 4.0 1.2573479663474045 12758.704391712407 2.107158453564874 5978462.0 4754819.0 1.0040895263567828
malardalenmatmult 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5952532.5 1.2601267381027432 5.0 1.2599312402848564 13556.284082449694 2.238882391680441 5990745.0 4754819.0 1.0064195365585993
malardalenmatmult 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5948715.0 1.2593185889960046 6.0 1.2602582769186377 19654.679040454022 3.246060244102769 5992300.0 4754819.0 1.0073267924249187
malardalenmatmult 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5881601.5 1.2451109360621218 7.0 1.2445256065477992 16287.025141341617 2.6898767818693434 5917494.0 4754819.0 1.0061025045644456
malardalenmatmult 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5816140.0 1.2312530047587122 8.0 1.229463834480345 12950.84351489685 2.1388911095813916 5845878.0 4754819.0 1.0051130130980341
malardalenmatmult 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5744201.5 1.2160239190966005 9.0 1.2142119395081075 12468.743509615126 2.0592700861291267 5773358.0 4754819.0 1.0050758142798437
malardalenmatmult 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5679061.0 1.2022339421778045 10.0 1.1962772925741232 5285.43841133363 0.8729143561373298 5688082.0 4754819.0 1.0015884668257657
malardalenmatmult 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 6976268.0 1.4768473484135616 0.0 1.491687485895888 243530.61503982457 40.22019622277228 7092704.0 4754819.0 1.0166902991685527
malardalenmatmult 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 6908344.5 1.4624682217988774 1.0 1.4640586739474204 156353.3670437055 25.82247452362654 6961334.0 4754819.0 1.0076703615460982
malardalenmatmult 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 6810429.5 1.4417400175326547 2.0 1.443828671501481 177716.75622448613 29.35073607174416 6865144.0 4754819.0 1.0080339279629869
malardalenmatmult 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 6722530.5 1.4231321594231032 3.0 1.423044284125221 122161.69240337839 20.17556288997318 6766318.0 4754819.0 1.0065135442672963
malardalenmatmult 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 6629833.5 1.403508584374683 4.0 1.4070649166666491 129778.73850932364 21.433552933520364 6690339.0 4754819.0 1.0091262472881106
malardalenmatmult 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 6521581.5 1.3805920795671751 5.0 1.3878627135964587 127971.88519473922 21.135142834870273 6599036.0 4754819.0 1.0118766437251454
malardalenmatmult 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 6425320.5 1.36021402032323 6.0 1.3647968513627964 153351.44640716305 25.32669358443258 6489362.0 4754819.0 1.0099670514490289
malardalenmatmult 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 6345233.0 1.3432598247538983 7.0 1.3438368526751492 145327.17617926947 24.001448612429154 6389701.0 4754819.0 1.0070080956837992
malardalenmatmult 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 6250247.5 1.3231517836332394 8.0 1.3257888470623171 108422.10842365403 17.906407680910846 6303886.0 4754819.0 1.0085818201599217
malardalenmatmult 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 6158229.0 1.303671844254478 9.0 1.3048120233388485 113143.95015535547 18.68624146464621 6204145.0 4754819.0 1.0074560397153143
malardalenmatmult 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 6083315.0 1.2878128574352998 10.0 1.2798314720286934 2901.966229989591 0.4792730112513912 6085367.0 4754819.0 1.0003373160850622
malardalenmatmult 4.0 20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 27842.0 1.3399749735296949 0.0 1.3338188402944533 1752.4827199357703 2.6331167313355457 33883.0 25403.0 1.2169743552905683
malardalenmatmult 4.0 20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 20927.0 1.00717104629897 1.0 0.8508443884580561 136.7730132111486 0.20550234554932006 21614.0 25403.0 1.0328284034978736
