benchmark confidence_hi confidence_lo cores inputsize label label1core mean mean1core median offset slowdown slowdown_wcet stdev wcet wcet1core
malardalenmatmult 21436.244897959183 20773.816326530614 1.0 20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 20904.20408163265 20904.20408163265 20781.0 0.0 1.0 1.0 831.8564825034385 26512.0 26512.0
malardalenmatmult 310670.5918367347 309943.20408163266 1.0 50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE50 310281.44897959183 310281.44897959183 310047.0 0.0 1.0 1.0 1323.6678847874591 313813.0 313813.0
malardalenmatmult 1671444.1836734693 1670480.836734694 1.0 80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE80 1670989.3469387756 1670989.3469387756 1670872.0 0.0 1.0 1.0 1715.2398344329606 1674035.0 1674035.0
malardalenmatmult 2376530.9795918367 2373059.387755102 1.0 90 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE90 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE90 2375243.6530612246 2375243.6530612246 2376256.0 0.0 1.0 1.0 5825.7127981298445 2383600.0 2383600.0
malardalenmatmult 4726413.3877551025 4723974.367346939 1.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 4725120.448979592 4725120.448979592 4724764.0 0.0 1.0 1.0 4382.838340529754 4737490.0 4737490.0
malardalenmatmult 4245929.020408163 4244367.9387755105 1.0 110 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE110 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE110 4245208.1632653065 4245208.1632653065 4245689.0 0.0 1.0 1.0 2825.7840899100574 4250745.0 4250745.0
malardalenmatmult 5651516.3877551025 5649412.714285715 1.0 120 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE120 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE120 5650474.755102041 5650474.755102041 5650344.0 0.0 1.0 1.0 3775.8029307829793 5658527.0 5658527.0
malardalenmatmult 10745819.346938776 10742058.367346939 1.0 150 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE150 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE150 10743598.857142856 10743598.857142856 10742402.0 0.0 1.0 1.0 6556.742827044781 10767679.0 10767679.0
malardalenmatmult 6351491.204081632 6341194.673469388 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 6346023.306122449 4725120.448979592 6346941.0 0.0 1.3430394790238411 1.3513381558589042 18643.540347132795 6401951.0 4737490.0
malardalenmatmult 6195553.64 6185300.7 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 6190445.16 4725120.448979592 6190775.5 1.0 1.310113726590155 1.3159962342928428 18499.765645906533 6234519.0 4737490.0
malardalenmatmult 6035917.86 6027757.32 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 6031606.22 4725120.448979592 6028049.0 2.0 1.2764978766419697 1.2795037034378964 14874.912220341355 6061636.0 4737490.0
malardalenmatmult 5871578.96 5862880.2 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5867196.48 4725120.448979592 5866454.5 3.0 1.2417030514570362 1.2467211540288212 15990.673801376723 5906329.0 4737490.0
malardalenmatmult 5714652.3 5707964.62 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5711384.42 4725120.448979592 5711740.5 4.0 1.2087277947027564 1.2107168563944197 12013.004382309507 5735759.0 4737490.0
malardalenmatmult 5554556.78 5547443.22 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5550982.78 4725120.448979592 5550443.0 5.0 1.1747812230265489 1.1774179998269125 13136.148210482308 5578006.0 4737490.0
malardalenmatmult 5399405.6 5391953.14 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5395742.8 4725120.448979592 5397282.5 6.0 1.1419270383181939 1.1475013139869426 13560.419170572412 5436276.0 4737490.0
malardalenmatmult 5243745.48 5238771.02 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5241305.54 4725120.448979592 5241702.0 7.0 1.1092427371098825 1.1101410240443779 8994.952807467738 5259282.0 4737490.0
malardalenmatmult 5085555.62 5080601.68 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5083009.72 4725120.448979592 5082401.0 8.0 1.0757418302633313 1.0771421153395575 8979.803070519385 5102950.0 4737490.0
