benchmark confidence_hi confidence_lo cores inputsize label label1core mean mean1core median offset slowdown slowdown_wcet stdev wcet wcet1core
sdvbsdisparity 446624.1836734694 441671.36734693876 1.0 32 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE32 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE32 444268.0816326531 444268.0816326531 445417.0 0.0 1.0 1.0 8707.175874043824 465289.0 465289.0
sdvbsdisparity 1572983.163265306 1567164.6734693877 1.0 64 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE64 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE64 1569379.3469387756 1569379.3469387756 1568218.0 0.0 1.0 1.0 10094.358468865657 1616309.0 1616309.0
sdvbsdisparity 3510939.6326530613 3497379.1836734693 1.0 96 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE96 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE96 3503343.0204081633 3503343.0204081633 3501383.0 0.0 1.0 1.0 24418.579966978803 3585585.0 3585585.0
sdvbsdisparity 7162988.653061224 7152309.87755102 1.0 128 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE128 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE128 7156969.224489796 7156969.224489796 7156172.0 0.0 1.0 1.0 19060.600267377034 7234506.0 7234506.0
sdvbsdisparity 10119681.42857143 10080198.653061224 1.0 160 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE160 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE160 10098204.469387755 10098204.469387755 10090306.0 0.0 1.0 1.0 70740.95066570291 10317812.0 10317812.0
sdvbsdisparity 16937245.795918368 16753038.040816326 1.0 192 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE192 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE192 16838087.653061226 16838087.653061226 16901687.0 0.0 1.0 1.0 328471.4683375961 18216552.0 18216552.0
sdvbsdisparity 488565.6530612245 483988.8163265306 2.0 32 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK1_INPUTSIZE32 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE32 486404.71428571426 444268.0816326531 487122.0 0.0 1.094845059537503 1.0850073825085054 8193.46224895187 504842.0 465289.0
sdvbsdisparity 454400.0 449268.0 2.0 32 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK1_INPUTSIZE32 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE32 452611.6666666667 444268.0816326531 453934.0 1.0 1.0187805187429886 0.9770981046188498 2916.7156757787197 454633.0 465289.0
sdvbsdisparity 530393.2857142857 524156.1836734694 3.0 32 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK1_INPUTSIZE32 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE32 527020.0408163265 444268.0816326531 527153.0 0.0 1.186265821482304 1.2200288422894159 11190.219168540281 567666.0 465289.0
sdvbsdisparity 475795.75 465949.0 3.0 32 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK1_INPUTSIZE32 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE32 469645.25 444268.0816326531 467590.0 1.0 1.0571212954891733 1.0278880437749442 5897.88489629969 478265.0 465289.0
sdvbsdisparity 555437.7346938775 547569.1020408163 4.0 32 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_READATTACK1_INPUTSIZE32 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE32 551149.693877551 444268.0816326531 550060.0 0.0 1.240579093263049 1.2842147568500437 14086.970646966785 597531.0 465289.0
sdvbsdisparity 471667.3333333333 464542.0 4.0 32 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_READATTACK1_INPUTSIZE32 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE32 468855.3333333333 444268.0816326531 469046.0 1.0 1.0553432774425835 1.016525213362018 4221.230784182894 472978.0 465289.0
sdvbsdisparity 1833857.6734693877 1822380.081632653 2.0 64 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK1_INPUTSIZE64 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE64 1826527.0408163266 1569379.3469387756 1824265.0 0.0 1.1638531145316409 1.1896784587600515 19224.986102031413 1922888.0 1616309.0
sdvbsdisparity 1737057.6666666667 1726902.0 2.0 64 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK1_INPUTSIZE64 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE64 1732198.3333333333 1569379.3469387756 1728213.0 1.0 1.1037473742165345 1.0774424939785647 8064.842362584221 1741480.0 1616309.0
sdvbsdisparity 2178672.06122449 2160296.5918367347 3.0 64 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK1_INPUTSIZE64 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE64 2168245.9183673467 1569379.3469387756 2163201.0 0.0 1.3815945281787463 1.4199413602225812 32011.753857526503 2295064.0 1616309.0
sdvbsdisparity 1988361.0 1982940.0 3.0 64 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK1_INPUTSIZE64 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE64 1988361.0 1569379.3469387756 1988361.0 1.0 1.26697283475693 1.2335401213505586 7666.451721624549 1993782.0 1616309.0
sdvbsdisparity 2543433.8163265307 2521631.0816326533 4.0 64 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_READATTACK1_INPUTSIZE64 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE64 2531581.6938775512 1569379.3469387756 2528448.0 0.0 1.6131101118513145 1.6628676818603374 38449.85092418212 2687708.0 1616309.0
sdvbsdisparity 2274346.0 2260634.0 4.0 64 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_READATTACK1_INPUTSIZE64 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE64 2274346.0 1569379.3469387756 2274346.0 1.0 1.449200924197409 1.41560679300802 19391.69636725988 2288058.0 1616309.0
sdvbsdisparity 4682259.102040816 4651838.285714285 2.0 96 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK1_INPUTSIZE96 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE96 4667209.265306123 3503343.0204081633 4672604.0 0.0 1.3322158972495821 1.3376168742339116 55612.43911653815 4796139.0 3585585.0
sdvbsdisparity 4624590.0 4617793.0 2.0 96 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK1_INPUTSIZE96 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE96 4624590.0 3503343.0204081633 4624590.0 1.0 1.3200505839879773 1.2916684446192184 9612.409583449928 4631387.0 3585585.0
sdvbsdisparity 6101782.469387755 6059608.571428572 3.0 96 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK1_INPUTSIZE96 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE96 6081496.408163265 3503343.0204081633 6098374.0 0.0 1.7359123479306715 1.738436545222049 76387.26255238244 6233312.0 3585585.0
sdvbsdisparity 5876423.0 5869706.0 3.0 96 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK1_INPUTSIZE96 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE96 5876423.0 3503343.0204081633 5876423.0 1.0 1.6773758566511585 1.6407754940965003 9499.272498460079 5883140.0 3585585.0
sdvbsdisparity 7101923.489795919 7035406.693877551 4.0 96 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_READATTACK1_INPUTSIZE96 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE96 7070270.020408163 3503343.0204081633 7106544.0 0.0 2.0181495158257237 2.0228721394137916 119269.40601559154 7253180.0 3585585.0
sdvbsdisparity 6849537.0 6801369.0 4.0 96 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_READATTACK1_INPUTSIZE96 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE96 6849537.0 3503343.0204081633 6849537.0 1.0 1.9551431190434736 1.923732110659767 68119.83887238725 6897705.0 3585585.0
sdvbsdisparity 10582092.877551021 10558975.448979592 2.0 128 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK1_INPUTSIZE128 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE128 10568628.18367347 7156969.224489796 10565377.0 0.0 1.47669046102778 1.4860922086456214 40554.55197461044 10751143.0 7234506.0
